N_A,N_B,cost_yuan,p_self_lower,p_total_necessary_upper
4,11,0.0778067780539072,0.8030848315308093,0.8030865111823895
3,18,0.07469136533909733,0.8014573104938917,0.801460475137672
2,25,0.07157595262428745,0.7998163378536962,0.799821465762292
1,32,0.06846053990947759,0.7981618024315492,0.7981693819605458
5,3,0.07924667468680252,0.7965614700330775,0.7965620259231926
0,39,0.06534512719466772,0.796493592129875,0.7965041218622009
4,10,0.07613126197199264,0.7948800328445931,0.7948815648087821
3,17,0.07301584925718277,0.7931846984311371,0.7931876932188422
2,24,0.0699004365423729,0.7914753519309337,0.7914803066351526
1,31,0.06678502382756303,0.7897518775328638,0.7897592997386526
5,2,0.07757115860488796,0.788084864617789,0.7880853181598321
0,38,0.06366961111275315,0.7880141584686199,0.7880245664033833
4,9,0.0744557458900781,0.7863333675464511,0.7863347515040833
3,16,0.07134033317526822,0.7845673941991012,0.7845702144609304
2,23,0.06822492046045835,0.7827868249280558,0.7827915981458347
1,30,0.06510950774564847,0.780991539096733,0.7809987928399468
5,1,0.07589564252297341,0.7792550673101969,0.7792554244663311
0,37,0.061994095030838595,0.7791814150714791,0.7791916879837963
4,8,0.07278022980816354,0.7774305911942199,0.777431827685694
3,15,0.06966481709335366,0.7755910356240637,0.7755936772288853
2,22,0.06654940437854379,0.7737362759667248,0.7737408596626438
1,29,0.06343399166373392,0.771866186559097,0.7718732606845302
5,0,0.07422012644105885,0.7700573617814551,0.7700576298414574
0,36,0.06031857894892404,0.7699806406994574,0.769990765116351
4,7,0.07110471372624898,0.7681568658273124,0.7681579563513844
3,14,0.0679893010114391,0.7662406621083997,0.7662431215434888
2,21,0.06487388829662924,0.7643086207986717,0.7643130072457649
1,28,0.06175847558181936,0.7623606109990593,0.7623674943807021
0,35,0.05864306286700948,0.7603965007286013,0.760406462958435
4,6,0.06942919764433442,0.7584967352367837,0.7584976823572247
3,13,0.06631378492952456,0.7565006896962496,0.7565029641538688
2,20,0.06319837221471467,0.754488146665283,0.7544923285127065
1,27,0.0600829594999048,0.7524589697906867,0.7524656513816778
0,34,0.05696754678509493,0.7504130215922931,0.7504228077582362
4,5,0.06775368156241987,0.7484340992049829,0.7484349066656335
3,12,0.06463826884761,0.7463548851002602,0.7463569725715549
2,19,0.06152285613280012,0.7442584861096697,0.7442624564566566
1,26,0.05840744341799024,0.7421447601986321,0.7421512290865147
0,33,0.05529203070318037,0.7400135641586386,0.7400231602364962
4,4,0.06607816548050531,0.7379521866718572,0.7379528595206404
3,11,0.06296275276569543,0.7357863386461042,0.7357882380228313
2,18,0.05984734005088556,0.7336025896975726,0.7336063421741317
