employee,group_employee,fixed_group,day,status
45,6,2,3,REST
45,6,2,4,WORK
45,6,2,5,WORK
45,6,2,6,WORK
45,6,2,7,WORK
45,6,2,8,WORK
45,6,2,9,WORK
45,6,2,10,WORK
46,7,2,1,REST
46,7,2,2,WORK
46,7,2,3,REST
46,7,2,4,WORK
46,7,2,5,WORK
46,7,2,6,WORK
46,7,2,7,WORK
46,7,2,8,WORK
46,7,2,9,WORK
46,7,2,10,WORK
47,8,2,1,REST
47,8,2,2,WORK
47,8,2,3,REST
47,8,2,4,WORK
47,8,2,5,WORK
47,8,2,6,WORK
47,8,2,7,WORK
47,8,2,8,WORK
47,8,2,9,WORK
47,8,2,10,WORK
48,9,2,1,REST
48,9,2,2,WORK
48,9,2,3,REST
48,9,2,4,WORK
48,9,2,5,WORK
48,9,2,6,WORK
48,9,2,7,WORK
48,9,2,8,WORK
48,9,2,9,WORK
48,9,2,10,WORK
49,10,2,1,REST
49,10,2,2,WORK
49,10,2,3,REST
49,10,2,4,WORK
49,10,2,5,WORK
49,10,2,6,WORK
49,10,2,7,WORK
49,10,2,8,WORK
49,10,2,9,WORK
49,10,2,10,WORK
50,11,2,1,REST
50,11,2,2,WORK
50,11,2,3,REST
50,11,2,4,WORK
50,11,2,5,WORK
50,11,2,6,WORK
50,11,2,7,WORK
50,11,2,8,WORK
50,11,2,9,WORK
50,11,2,10,WORK
51,12,2,1,REST
51,12,2,2,WORK
51,12,2,3,REST
51,12,2,4,WORK
51,12,2,5,WORK
51,12,2,6,WORK
51,12,2,7,WORK
51,12,2,8,WORK
51,12,2,9,WORK
51,12,2,10,WORK
52,13,2,1,REST
52,13,2,2,WORK
52,13,2,3,WORK
52,13,2,4,WORK
52,13,2,5,REST
52,13,2,6,WORK
52,13,2,7,WORK
52,13,2,8,WORK
52,13,2,9,WORK
52,13,2,10,WORK
53,14,2,1,REST
53,14,2,2,WORK
53,14,2,3,WORK
53,14,2,4,WORK
53,14,2,5,REST
53,14,2,6,WORK
53,14,2,7,WORK
53,14,2,8,WORK
53,14,2,9,WORK
53,14,2,10,WORK
54,15,2,1,REST
54,15,2,2,WORK
54,15,2,3,WORK
54,15,2,4,WORK
54,15,2,5,REST
54,15,2,6,WORK
54,15,2,7,WORK
54,15,2,8,WORK
54,15,2,9,WORK
54,15,2,10,WORK
55,16,2,1,REST
55,16,2,2,WORK
55,16,2,3,WORK
55,16,2,4,WORK
55,16,2,5,REST
55,16,2,6,WORK
55,16,2,7,WORK
55,16,2,8,WORK
55,16,2,9,WORK
55,16,2,10,WORK
56,17,2,1,REST
56,17,2,2,WORK
56,17,2,3,WORK
56,17,2,4,WORK
56,17,2,5,REST
56,17,2,6,WORK
56,17,2,7,WORK
56,17,2,8,WORK
56,17,2,9,WORK
56,17,2,10,WORK
57,18,2,1,REST
57,18,2,2,WORK
57,18,2,3,WORK
57,18,2,4,WORK
57,18,2,5,REST
57,18,2,6,WORK
57,18,2,7,WORK
57,18,2,8,WORK
57,18,2,9,WORK
57,18,2,10,WORK
58,19,2,1,REST
58,19,2,2,WORK
58,19,2,3,WORK
58,19,2,4,WORK
58,19,2,5,REST
58,19,2,6,WORK
58,19,2,7,WORK
58,19,2,8,WORK
58,19,2,9,WORK
58,19,2,10,WORK
59,20,2,1,REST
59,20,2,2,WORK
59,20,2,3,WORK
59,20,2,4,WORK
59,20,2,5,REST
59,20,2,6,WORK
59,20,2,7,WORK
59,20,2,8,WORK
59,20,2,9,WORK
59,20,2,10,WORK
60,21,2,1,WORK
60,21,2,2,WORK
60,21,2,3,WORK
60,21,2,4,WORK
60,21,2,5,REST
60,21,2,6,WORK
60,21,2,7,REST
60,21,2,8,WORK
60,21,2,9,WORK
60,21,2,10,WORK
61,22,2,1,WORK
61,22,2,2,WORK
61,22,2,3,WORK
61,22,2,4,WORK
61,22,2,5,REST
61,22,2,6,WORK
61,22,2,7,REST
61,22,2,8,WORK
61,22,2,9,WORK
61,22,2,10,WORK
62,23,2,1,WORK
62,23,2,2,WORK
62,23,2,3,WORK
62,23,2,4,WORK
62,23,2,5,REST
62,23,2,6,WORK
62,23,2,7,REST
62,23,2,8,WORK
62,23,2,9,WORK
62,23,2,10,WORK
63,24,2,1,WORK
63,24,2,2,WORK
63,24,2,3,WORK
63,24,2,4,WORK
63,24,2,5,WORK
63,24,2,6,WORK
63,24,2,7,REST
63,24,2,8,REST
63,24,2,9,WORK
63,24,2,10,WORK
64,25,2,1,WORK
64,25,2,2,WORK
64,25,2,3,WORK
64,25,2,4,WORK
64,25,2,5,WORK
64,25,2,6,WORK
64,25,2,7,REST
64,25,2,8,REST
64,25,2,9,WORK
64,25,2,10,WORK
65,26,2,1,WORK
65,26,2,2,WORK
65,26,2,3,WORK
65,26,2,4,WORK
65,26,2,5,WORK
65,26,2,6,WORK
65,26,2,7,REST
65,26,2,8,REST
65,26,2,9,WORK
65,26,2,10,WORK
66,27,2,1,WORK
66,27,2,2,WORK
66,27,2,3,WORK
66,27,2,4,WORK
66,27,2,5,WORK
66,27,2,6,WORK
66,27,2,7,REST
66,27,2,8,REST
66,27,2,9,WORK
66,27,2,10,WORK
67,28,2,1,WORK
67,28,2,2,WORK
67,28,2,3,WORK
67,28,2,4,WORK
67,28,2,5,WORK
67,28,2,6,WORK
67,28,2,7,REST
67,28,2,8,REST
67,28,2,9,WORK
67,28,2,10,WORK
68,29,2,1,WORK
68,29,2,2,WORK
68,29,2,3,WORK
68,29,2,4,WORK
68,29,2,5,WORK
68,29,2,6,WORK
68,29,2,7,REST
68,29,2,8,REST
68,29,2,9,WORK
68,29,2,10,WORK
69,30,2,1,WORK
69,30,2,2,WORK
69,30,2,3,WORK
69,30,2,4,WORK
69,30,2,5,WORK
69,30,2,6,WORK
69,30,2,7,WORK
69,30,2,8,REST
69,30,2,9,REST
69,30,2,10,WORK
70,31,2,1,WORK
70,31,2,2,WORK
70,31,2,3,WORK
70,31,2,4,WORK
70,31,2,5,WORK
70,31,2,6,WORK
70,31,2,7,WORK
70,31,2,8,REST
70,31,2,9,REST
70,31,2,10,WORK
71,32,2,1,WORK
71,32,2,2,WORK
71,32,2,3,WORK
71,32,2,4,WORK
71,32,2,5,WORK
71,32,2,6,WORK
71,32,2,7,WORK
71,32,2,8,REST
71,32,2,9,REST
71,32,2,10,WORK
72,33,2,1,WORK
72,33,2,2,WORK
72,33,2,3,WORK
72,33,2,4,WORK
72,33,2,5,WORK
72,33,2,6,WORK
72,33,2,7,WORK
72,33,2,8,REST
72,33,2,9,REST
72,33,2,10,WORK
73,34,2,1,WORK
73,34,2,2,WORK
73,34,2,3,WORK
73,34,2,4,WORK
73,34,2,5,WORK
73,34,2,6,WORK
73,34,2,7,WORK
73,34,2,8,REST
73,34,2,9,REST
73,34,2,10,WORK
74,35,2,1,WORK
74,35,2,2,WORK
74,35,2,3,WORK
74,35,2,4,WORK
74,35,2,5,WORK
74,35,2,6,WORK
74,35,2,7,WORK
74,35,2,8,REST
74,35,2,9,REST
74,35,2,10,WORK
75,36,2,1,WORK
75,36,2,2,WORK
75,36,2,3,WORK
75,36,2,4,WORK
75,36,2,5,WORK
75,36,2,6,WORK
75,36,2,7,WORK
75,36,2,8,WORK
75,36,2,9,REST
75,36,2,10,REST
76,37,2,1,WORK
76,37,2,2,WORK
76,37,2,3,WORK
76,37,2,4,WORK
76,37,2,5,WORK
76,37,2,6,WORK
76,37,2,7,WORK
76,37,2,8,WORK
76,37,2,9,REST
76,37,2,10,REST
77,38,2,1,WORK
77,38,2,2,WORK
77,38,2,3,WORK
77,38,2,4,WORK
77,38,2,5,WORK
77,38,2,6,WORK
77,38,2,7,WORK
77,38,2,8,WORK
77,38,2,9,REST
77,38,2,10,REST
78,39,2,1,REST
78,39,2,2,WORK
78,39,2,3,WORK
78,39,2,4,WORK
78,39,2,5,WORK
78,39,2,6,WORK
78,39,2,7,WORK
78,39,2,8,WORK
78,39,2,9,WORK
78,39,2,10,REST
79,1,3,1,REST
79,1,3,2,REST
79,1,3,3,WORK
79,1,3,4,WORK
79,1,3,5,WORK
79,1,3,6,WORK
79,1,3,7,WORK
79,1,3,8,WORK
79,1,3,9,WORK
79,1,3,10,WORK
80,2,3,1,REST
80,2,3,2,REST
80,2,3,3,WORK
80,2,3,4,WORK
80,2,3,5,WORK
80,2,3,6,WORK
80,2,3,7,WORK
80,2,3,8,WORK
80,2,3,9,WORK
80,2,3,10,WORK
81,3,3,1,REST
81,3,3,2,REST
81,3,3,3,WORK
81,3,3,4,WORK
81,3,3,5,WORK
81,3,3,6,WORK
81,3,3,7,WORK
81,3,3,8,WORK
81,3,3,9,WORK
81,3,3,10,WORK
82,4,3,1,REST
82,4,3,2,REST
82,4,3,3,WORK
82,4,3,4,WORK
82,4,3,5,WORK
82,4,3,6,WORK
82,4,3,7,WORK
82,4,3,8,WORK
82,4,3,9,WORK
82,4,3,10,WORK
83,5,3,1,REST
83,5,3,2,REST
83,5,3,3,WORK
83,5,3,4,WORK
83,5,3,5,WORK
83,5,3,6,WORK
83,5,3,7,WORK
83,5,3,8,WORK
83,5,3,9,WORK
83,5,3,10,WORK
84,6,3,1,REST
84,6,3,2,REST
84,6,3,3,WORK
84,6,3,4,WORK
84,6,3,5,WORK
84,6,3,6,WORK
84,6,3,7,WORK
84,6,3,8,WORK
84,6,3,9,WORK
84,6,3,10,WORK
85,7,3,1,REST
85,7,3,2,WORK
85,7,3,3,REST
85,7,3,4,WORK
85,7,3,5,WORK
85,7,3,6,WORK
85,7,3,7,WORK
85,7,3,8,WORK
85,7,3,9,WORK
85,7,3,10,WORK
86,8,3,1,REST
86,8,3,2,WORK
86,8,3,3,REST
86,8,3,4,WORK
86,8,3,5,WORK
86,8,3,6,WORK
86,8,3,7,WORK
86,8,3,8,WORK
86,8,3,9,WORK
86,8,3,10,WORK
87,9,3,1,REST
87,9,3,2,WORK
87,9,3,3,REST
87,9,3,4,WORK
87,9,3,5,WORK
87,9,3,6,WORK
87,9,3,7,WORK
87,9,3,8,WORK
87,9,3,9,WORK
87,9,3,10,WORK
88,10,3,1,REST
88,10,3,2,WORK
88,10,3,3,REST
88,10,3,4,WORK
88,10,3,5,WORK
88,10,3,6,WORK
88,10,3,7,WORK
88,10,3,8,WORK
88,10,3,9,WORK
88,10,3,10,WORK
89,11,3,1,REST
89,11,3,2,WORK
89,11,3,3,REST
89,11,3,4,WORK
89,11,3,5,WORK
89,11,3,6,WORK
89,11,3,7,WORK
89,11,3,8,WORK
89,11,3,9,WORK
89,11,3,10,WORK
90,12,3,1,REST
90,12,3,2,WORK
90,12,3,3,REST
90,12,3,4,WORK
90,12,3,5,WORK
90,12,3,6,WORK
90,12,3,7,WORK
90,12,3,8,WORK
90,12,3,9,WORK
90,12,3,10,WORK
91,13,3,1,REST
91,13,3,2,WORK
91,13,3,3,REST
91,13,3,4,WORK
91,13,3,5,WORK
91,13,3,6,WORK
91,13,3,7,WORK
91,13,3,8,WORK
91,13,3,9,WORK
91,13,3,10,WORK
92,14,3,1,REST
92,14,3,2,WORK
92,14,3,3,REST
92,14,3,4,WORK
92,14,3,5,WORK
92,14,3,6,WORK
92,14,3,7,WORK
92,14,3,8,WORK
92,14,3,9,WORK
92,14,3,10,WORK
93,15,3,1,REST
93,15,3,2,WORK
93,15,3,3,REST
93,15,3,4,WORK
93,15,3,5,WORK
93,15,3,6,WORK
93,15,3,7,WORK
93,15,3,8,WORK
93,15,3,9,WORK
93,15,3,10,WORK
94,16,3,1,REST
94,16,3,2,WORK
94,16,3,3,REST
94,16,3,4,WORK
94,16,3,5,WORK
94,16,3,6,WORK
94,16,3,7,WORK
94,16,3,8,WORK
94,16,3,9,WORK
94,16,3,10,WORK
95,17,3,1,REST
95,17,3,2,WORK
95,17,3,3,WORK
95,17,3,4,REST
95,17,3,5,WORK
95,17,3,6,WORK
95,17,3,7,WORK
95,17,3,8,WORK
95,17,3,9,WORK
95,17,3,10,WORK
96,18,3,1,REST
96,18,3,2,WORK
96,18,3,3,WORK
96,18,3,4,REST
96,18,3,5,WORK
96,18,3,6,WORK
96,18,3,7,WORK
96,18,3,8,WORK
96,18,3,9,WORK
96,18,3,10,WORK
97,19,3,1,REST
97,19,3,2,WORK
97,19,3,3,WORK
97,19,3,4,REST
97,19,3,5,WORK
97,19,3,6,WORK
97,19,3,7,WORK
97,19,3,8,WORK
97,19,3,9,WORK
97,19,3,10,WORK
98,20,3,1,REST
98,20,3,2,WORK
98,20,3,3,WORK
98,20,3,4,REST
98,20,3,5,WORK
98,20,3,6,WORK
98,20,3,7,WORK
98,20,3,8,WORK
98,20,3,9,WORK
98,20,3,10,WORK
99,21,3,1,REST
99,21,3,2,WORK
99,21,3,3,WORK
99,21,3,4,REST
99,21,3,5,WORK
99,21,3,6,WORK
99,21,3,7,WORK
99,21,3,8,WORK
99,21,3,9,WORK
99,21,3,10,WORK
100,22,3,1,REST
100,22,3,2,WORK
100,22,3,3,WORK
100,22,3,4,REST
100,22,3,5,WORK
100,22,3,6,WORK
100,22,3,7,WORK
100,22,3,8,WORK
100,22,3,9,WORK
100,22,3,10,WORK
101,23,3,1,REST
101,23,3,2,WORK
101,23,3,3,WORK
101,23,3,4,REST
101,23,3,5,WORK
101,23,3,6,WORK
101,23,3,7,WORK
101,23,3,8,WORK
101,23,3,9,WORK
101,23,3,10,WORK
102,24,3,1,REST
102,24,3,2,WORK
102,24,3,3,WORK
102,24,3,4,REST
102,24,3,5,WORK
102,24,3,6,WORK
102,24,3,7,WORK
102,24,3,8,WORK
102,24,3,9,WORK
102,24,3,10,WORK
103,25,3,1,REST
103,25,3,2,WORK
103,25,3,3,WORK
103,25,3,4,REST
103,25,3,5,WORK
103,25,3,6,WORK
103,25,3,7,WORK
103,25,3,8,WORK
103,25,3,9,WORK
103,25,3,10,WORK
104,26,3,1,WORK
104,26,3,2,WORK
104,26,3,3,WORK
104,26,3,4,REST
104,26,3,5,REST
104,26,3,6,WORK
104,26,3,7,WORK
104,26,3,8,WORK
104,26,3,9,WORK
104,26,3,10,WORK
105,27,3,1,WORK
105,27,3,2,WORK
105,27,3,3,WORK
105,27,3,4,REST
105,27,3,5,REST
105,27,3,6,WORK
105,27,3,7,WORK
105,27,3,8,WORK
105,27,3,9,WORK
105,27,3,10,WORK
106,28,3,1,WORK
106,28,3,2,WORK
106,28,3,3,WORK
106,28,3,4,REST
106,28,3,5,REST
106,28,3,6,WORK
106,28,3,7,WORK
106,28,3,8,WORK
106,28,3,9,WORK
106,28,3,10,WORK
107,29,3,1,WORK
107,29,3,2,WORK
107,29,3,3,WORK
107,29,3,4,WORK
107,29,3,5,REST
107,29,3,6,REST
107,29,3,7,WORK
107,29,3,8,WORK
107,29,3,9,WORK
107,29,3,10,WORK
108,30,3,1,WORK
108,30,3,2,WORK
108,30,3,3,WORK
108,30,3,4,WORK
108,30,3,5,REST
108,30,3,6,REST
108,30,3,7,WORK
108,30,3,8,WORK
108,30,3,9,WORK
108,30,3,10,WORK
109,31,3,1,WORK
109,31,3,2,WORK
109,31,3,3,WORK
109,31,3,4,WORK
109,31,3,5,REST
109,31,3,6,REST
109,31,3,7,WORK
109,31,3,8,WORK
109,31,3,9,WORK
109,31,3,10,WORK
110,32,3,1,WORK
110,32,3,2,WORK
110,32,3,3,WORK
110,32,3,4,WORK
110,32,3,5,REST
110,32,3,6,REST
110,32,3,7,WORK
110,32,3,8,WORK
110,32,3,9,WORK
110,32,3,10,WORK
111,33,3,1,WORK
111,33,3,2,WORK
111,33,3,3,WORK
111,33,3,4,WORK
111,33,3,5,WORK
111,33,3,6,REST
111,33,3,7,REST
111,33,3,8,WORK
111,33,3,9,WORK
111,33,3,10,WORK
112,34,3,1,WORK
112,34,3,2,WORK
112,34,3,3,WORK
112,34,3,4,WORK
112,34,3,5,WORK
112,34,3,6,WORK
112,34,3,7,REST
112,34,3,8,WORK
112,34,3,9,REST
112,34,3,10,WORK
113,35,3,1,WORK
113,35,3,2,WORK
113,35,3,3,WORK
113,35,3,4,WORK
113,35,3,5,WORK
113,35,3,6,WORK
113,35,3,7,REST
113,35,3,8,WORK
113,35,3,9,REST
113,35,3,10,WORK
114,36,3,1,WORK
114,36,3,2,WORK
114,36,3,3,WORK
114,36,3,4,WORK
114,36,3,5,WORK
114,36,3,6,WORK
114,36,3,7,WORK
114,36,3,8,WORK
114,36,3,9,REST
114,36,3,10,REST
115,37,3,1,WORK
115,37,3,2,WORK
115,37,3,3,WORK
115,37,3,4,WORK
115,37,3,5,WORK
115,37,3,6,WORK
115,37,3,7,WORK
115,37,3,8,WORK
115,37,3,9,REST
115,37,3,10,REST
116,38,3,1,WORK
116,38,3,2,WORK
116,38,3,3,WORK
116,38,3,4,WORK
116,38,3,5,WORK
116,38,3,6,WORK
116,38,3,7,WORK
116,38,3,8,WORK
116,38,3,9,REST
116,38,3,10,REST
117,39,3,1,WORK
117,39,3,2,WORK
117,39,3,3,WORK
117,39,3,4,WORK
117,39,3,5,WORK
