day,group,minimum_workers,shift_1,shift_2,shift_3,shift_4,shift_5,shift_6,shift_7,shift_8,shift_9,shift_10,solver_name,solver_status,objective_value,runtime_seconds
9,6,31,9,0,2,10,0,8,0,2,0,0,PySCIPOpt/SCIP,OPTIMAL,31,0.0005425870003819
9,7,32,7,0,0,8,0,0,0,16,1,0,PySCIPOpt/SCIP,OPTIMAL,32,0.0005587019995800802
9,8,32,14,0,2,9,0,3,0,4,0,0,PySCIPOpt/SCIP,OPTIMAL,32,0.0005197740001676721
9,9,30,4,0,0,8,0,0,16,0,2,0,PySCIPOpt/SCIP,OPTIMAL,30,0.0006532120005431352
9,10,30,0,0,1,22,0,4,0,3,0,0,PySCIPOpt/SCIP,OPTIMAL,30,0.0005492880000019795
10,1,31,19,1,0,11,0,0,0,0,0,0,PySCIPOpt/SCIP,OPTIMAL,31,0.0005122730008224607
10,2,31,1,0,0,4,16,7,3,0,0,0,PySCIPOpt/SCIP,OPTIMAL,31,0.0005467339997267118
10,3,35,14,0,0,5,0,0,0,0,5,11,PySCIPOpt/SCIP,OPTIMAL,35,0.0005917809994571144
10,4,30,4,8,5,2,10,0,0,0,0,1,PySCIPOpt/SCIP,OPTIMAL,30,0.0005445200004032813
10,5,28,6,8,0,2,0,0,0,7,5,0,PySCIPOpt/SCIP,OPTIMAL,28,0.0005336940002962365
10,6,38,12,0,6,11,0,0,0,3,0,6,PySCIPOpt/SCIP,OPTIMAL,38,0.000576026999624446
10,7,30,0,22,0,4,1,0,0,0,0,3,PySCIPOpt/SCIP,OPTIMAL,30,0.0005344159999367548
10,8,30,3,0,4,17,0,3,0,3,0,0,PySCIPOpt/SCIP,OPTIMAL,30,0.0005482759997903486
10,9,37,12,0,0,17,0,0,0,0,0,8,PySCIPOpt/SCIP,OPTIMAL,37,0.0006178399999043904
10,10,29,2,0,0,8,0,0,3,0,0,16,PySCIPOpt/SCIP,OPTIMAL,29,0.0006634579995079548
