N_A,N_B,cost_yuan,p_self_lower
1,10,0.03159918610735733,0.5045084729940208
1,11,0.03327470218927189,0.5243281340742599
1,12,0.03495021827118645,0.5433550087112896
1,13,0.03662573435310101,0.561620808362838
1,14,0.03830125043501556,0.5791559760283245
1,15,0.03997676651693012,0.5959897369871916
1,16,0.04165228259884468,0.6121501475077039
1,17,0.043327798680759234,0.6276641416073958
1,18,0.04500331476267379,0.6425575759430999
1,19,0.04667883084458835,0.656855272905376
1,20,0.0483543469265029,0.670581061989161
1,21,0.05002986300841746,0.6837578195095946
1,22,0.051705379090332015,0.6964075067292108
1,23,0.053380895172246576,0.7085512064600423
1,24,0.05505641125416113,0.7202091582016407
1,25,0.05673192733607569,0.731400791873575
1,26,0.05840744341799024,0.7421447601986321
1,27,0.0600829594999048,0.7524589697906867
1,28,0.06175847558181936,0.7623606109990593
1,29,0.06343399166373392,0.771866186559097
1,30,0.06510950774564847,0.780991539096733
1,31,0.06678502382756303,0.7897518775328638
1,32,0.06846053990947759,0.7981618024315492
1,33,0.07013605599139214,0.8062353303342873
1,34,0.0718115720733067,0.8139859171209158
1,35,0.07348708815522126,0.8214264804360791
1,36,0.0751626042371358,0.828569421218636
1,37,0.07683812031905037,0.8354266443698906
1,38,0.07851363640096493,0.842009578595095
1,39,0.08018915248287949,0.8483291954512912
1,40,0.08186466856479403,0.8543960276332395
1,41,0.08354018464670859,0.86022018652791
1,42,0.08521570072862315,0.8658113790667935
1,43,0.08689121681053771,0.8711789239041218
1,44,0.08856673289245226,0.8763317669479569
1,45,0.09024224897436682,0.8812784962700386
1,46,0.09191776505628138,0.8860273564192371
1,47,0.09359328113819594,0.8905862621624676
1,48,0.09526879722011049,0.8949628116759689
1,49,0.09694431330202505,0.8991642992089302
1,50,0.09861982938393961,0.903197727240573
1,51,0.10029534546585415,0.90706981815095
1,52,0.10197086154776872,0.9107870254249121
1,53,0.10364637762968328,0.9143555444079156
1,54,0.10532189371159784,0.917781322631599
1,55,0.10699740979351238,0.921070069726335
1,56,0.10867292587542694,0.9242272669372816
1,57,0.1103484419573415,0.9272581762597903
1,58,0.11202395803925606,0.9301678492093988
1,59,0.11369947412117061,0.9329611352410228
1,60,0.11537499020308517,0.9356426898313819
1,61,0.11705050628499973,0.9382169822381267
1,62,0.11872602236691429,0.9406883029486015
1,63,0.12040153844882884,0.9430607708306575
1,64,0.1220770545307434,0.9453383399974312
1,65,0.12375257061265796,0.9475248063975339
1,66,0.1254280866945725,0.9496238141416325
1,67,0.12710360277648708,0.9516388615759673
1,68,0.12877911885840163,0.9535733071129286
1,69,0.13045463494031617,0.9554303748284114
1,70,0.13213015102223075,0.957213159835275
1,71,0.1338056671041453,0.958924633441864
1,72,0.13548118318605984,0.9605676481041895
1,73,0.1371566992679744,0.9621449421800219
1,74,0.13883221534988896,0.963659144492821
1,75,0.14050773143180353,0.9651127787131082
1,76,0.14218324751371808,0.9665082675645839
1,77,0.14385876359563263,0.9678479368620004
1,78,0.1455342796775472,0.9691340193875204
1,79,0.14720979575946175,0.9703686586120196
1,80,0.1488853118413763,0.9715539122675388
2,0,0.02968805057642354,0.44454637686067444
2,1,0.031363566658338095,0.4667645217862475
2,2,0.033039082740252655,0.48809394091479763
2,3,0.03471459882216721,0.5085701832782057
2,4,0.03639011490408177,0.5282273759470775
2,5,0.03806563098599632,0.5470982809091944
2,6,0.03974114706791088,0.5652143496728266
2,7,0.041416663149825436,0.5826057756859135
2,8,0.04309217923174,0.5993015446584771
2,9,0.04476769531365455,0.6153294828721381
2,10,0.0464432113955691,0.6307163035572525
2,11,0.048118727477483664,0.6454876514149623
2,12,0.049794243559398224,0.6596681453583639
2,13,0.05146975964131278,0.6732814195440293
2,14,0.05314527572322733,0.6863501627622682
2,15,0.05482079180514189,0.6988961562517775
2,16,0.05649630788705645,0.7109403100017064
2,17,0.058171823968971005,0.7225026976016382
2,18,0.05984734005088556,0.7336025896975726
2,19,0.06152285613280012,0.7442584861096697
2,20,0.06319837221471467,0.754488146665283
2,21,0.06487388829662924,0.7643086207986717
2,22,0.06654940437854379,0.7737362759667248
2,23,0.06822492046045835,0.7827868249280558
2,24,0.0699004365423729,0.7914753519309337
2,25,0.07157595262428745,0.7998163378536962
2,26,0.07325146870620201,0.8078236843395484
2,27,0.07492698478811657,0.8155107369659664
2,28,0.07660250087003112,0.8228903074873278
2,29,0.0782780169519457,0.8299746951878347
2,30,0.07995353303386024,0.8367757073803214
2,31,0.0816290491157748,0.8433046790851084
2,32,0.08330456519768936,0.8495724919217041
2,33,0.08498008127960391,0.855589592244836
2,34,0.08665559736151847,0.8613660085550425
2,35,0.08833111344343303,0.8669113682128409
2,36,0.09000662952534758,0.8722349134843272
2,37,0.09168214560726214,0.8773455169449542
2,38,0.0933576616891767,0.8822516962671559
2,39,0.09503317777109126,0.8869616284164697
2,40,0.0967086938530058,0.891483163279811
2,41,0.09838420993492036,0.8958238367486185
2,42,0.10005972601683492,0.8999908832786738
2,43,0.10173524209874948,0.9039912479475268
2,44,0.10341075818066403,0.9078315980296258
2,45,0.10508627426257859,0.9115183341084407
2,46,0.10676179034449315,0.9150576007441031
2,47,0.10843730642640771,0.918455296714339
2,48,0.11011282250832226,0.9217170848457654
2,49,0.11178833859023682,0.9248484014519348
2,50,0.11346385467215138,0.9278544653938574
2,51,0.11513937075406593,0.9307402867781032
2,52,0.11681488683598049,0.9335106753069791
2,53,0.11849040291789505,0.9361702482946999
2,54,0.1201659189998096,0.9387234383629118
2,55,0.12184143508172415,0.9411745008283954
2,56,0.12351695116363871,0.9435275207952596
2,57,0.12519246724555327,0.9457864199634493
2,58,0.12686798332746785,0.9479549631649112
2,59,0.12854349940938237,0.9500367646383148
2,60,0.13021901549129694,0.9520352940527822
2,61,0.13189453157321152,0.9539538822906709
2,62,0.13357004765512606,0.955795726999044
2,63,0.1352455637370406,0.9575638979190824
2,64,0.13692107981895518,0.959261342002319
2,65,0.13859659590086973,0.9608908883222262
2,66,0.14027211198278428,0.9624552527893372
2,67,0.14194762806469885,0.9639570426777637
2,68,0.1436231441466134,0.9653987609706531
2,69,0.14529866022852794,0.966782810531827
2,70,0.14697417631044252,0.968111498110554
2,71,0.14864969239235706,0.9693870381861318
2,72,0.1503252084742716,0.9706115566586866
2,73,0.15200072455618618,0.9717870943923391
2,74,0.15367624063810073,0.9729156106166456
2,75,0.1553517567200153,0.9739989861919797
2,76,0.15702727280192985,0.9750390267443005
2,77,0.1587027888838444,0.9760374656745285
2,78,0.16037830496575897,0.9769959670475473
2,79,0.16205382104767352,0.9779161283656455
2,80,0.16372933712958807,0.9787994832310196
3,0,0.04453207586463531,0.5860272961783024
3,1,0.046207591946549866,0.6025862043311703
3,2,0.047883108028464426,0.6184827561579235
3,3,0.04955862411037898,0.6337434459116066
3,4,0.05123414019229354,0.6483937080751423
3,5,0.05290965627420809,0.6624579597521366
3,6,0.05458517235612265,0.6759596413620512
3,7,0.05626068843803721,0.6889212557075691
3,8,0.05793620451995177,0.7013644054792664
3,9,0.05961172060186632,0.7133098292600957
3,10,0.061287236683780874,0.7247774360896919
3,11,0.06296275276569543,0.7357863386461042
3,12,0.06463826884761,0.7463548851002602
3,13,0.06631378492952456,0.7565006896962496
3,14,0.0679893010114391,0.7662406621083997
3,15,0.06966481709335366,0.7755910356240637
3,16,0.07134033317526822,0.7845673941991012
3,17,0.07301584925718277,0.7931846984311371
3,18,0.07469136533909733,0.8014573104938917
3,19,0.07636688142101189,0.809399018074136
3,20,0.07804239750292644,0.8170230573511705
3,21,0.07971791358484101,0.8243421350571238
3,22,0.08139342966675556,0.8313684496548388
3,23,0.08306894574867012,0.8381137116686452
3,24,0.08474446183058468,0.8445891632018995
3,25,0.08641997791249922,0.8508055966738235
3,26,0.08809549399441378,0.8567733728068706
3,27,0.08977101007632834,0.8625024378945958
3,28,0.09144652615824289,0.868002340378812
3,29,0.09312204224015747,0.8732822467636594
3,30,0.09479755832207201,0.878350956893113
3,31,0.09647307440398657,0.8832169186173886
3,32,0.09814859048590113,0.887888241872693
3,33,0.09982410656781568,0.8923727121977854
3,34,0.10149962264973024,0.8966778037098739
3,35,0.1031751387316448,0.900810691561479
3,36,0.10485065481355935,0.9047782638990198
3,37,0.1065261708954739,0.908587133343059
3,38,0.10820168697738847,0.9122436480093367
