sample,d_mm,overlap_deg,ign_btdc_deg,eoi_deg,lambda,combustion_efficiency_scale,friction_scale_multiplier,Vmin_cm3,CR,power_kW,eta_b,BSFC_g_kWh,pmax_MPa,Tmax_K,state_relative_residual,converged
193,149.74358295622494,43.06848186196576,27.157565872940296,597.4922231968862,1.0466331050850723,0.9952603406699095,0.9102881540134908,32.064150275279566,13.761822776374174,48.05955898949213,0.3679894812766714,224.89398447623947,6.298702754166382,2708.2945121612247,3.0413459218149876e-06,True
194,137.49887807629386,116.7849340106852,19.978055687211842,608.5954960095728,0.9735208091718361,0.9950078800120354,1.0635506418126752,70.18054405826565,6.830633101795582,39.38454329172745,0.2941920555145183,281.30814254965844,3.256354908121938,2900.3329548090996,2.6428945704618487e-06,True
195,137.86707986829074,27.24930077315878,21.2254207268819,582.1772564168638,0.9815139440160098,1.0283880034161959,0.9934334346986174,69.04302915151872,6.926695400199515,43.50948077332151,0.30890788090277777,267.90711990835126,3.5866093964405747,3065.5488011202365,1.564459518287178e-05,True
196,149.54789161299283,94.0810553985433,15.404027809923797,589.5987388583354,1.0474997199699523,0.970466043084393,0.9725227791199814,32.67845653070253,13.521919537530556,42.33291498132906,0.3337129058067679,247.99346758730238,4.5613689665020205,2537.6961701430055,1.3974995472663647e-05,True
197,141.43007349104997,146.83773281763558,13.229425681726763,616.4449218803051,1.021366866238202,1.0382535737470906,0.909116389362561,58.00988140427827,8.053918976948097,38.28386147364682,0.3145396127150317,263.11032806107403,3.1533662444482315,2736.6655395303846,1.8553033548800852e-07,True
198,140.12573108160734,29.516694483242496,25.061849514818924,607.6646244023053,1.0197330222305394,0.9671158650724494,1.086622906998625,62.054443906744574,7.5941611515057375,41.01758801998574,0.30112843592579475,274.8283151513757,3.807067664043788,2841.0088432837547,1.7020523626750114e-05,True
199,133.06085291096483,57.837235689592376,23.304163939317046,612.3865765705352,0.9942983361030846,1.0141580128303214,1.0069447885793545,83.85526225121862,5.879801127593521,39.93804082345896,0.28904847132020434,286.3139884866445,3.1625030955536215,3036.841914235493,1.7784099897946274e-05,True
200,142.02054559807215,23.77725624187257,25.383254939594035,607.7569945325287,1.1429827183836938,1.0398237461194406,0.9342452042111392,56.17673377355671,8.284101011240397,40.681432908932116,0.33516954440132296,246.9156940779865,3.976109408291635,2730.2696795316715,1.7552434967097717e-05,True
201,145.73914636769584,144.58892961105573,10.602910523266557,577.2293699861312,1.0948325303839141,0.9822633507861552,1.0132188406383347,44.59931117213125,10.174962404886687,34.83640879402436,0.3058301731852568,270.60319074378606,3.2037671900759284,2432.6283786645936,6.845505050258849e-06,True
202,138.2479887519019,80.40371055985833,17.195832930570667,580.0251167769436,1.0585294655242197,0.9694682741003514,1.052821887773148,67.86574932271212,7.0295068922373805,35.79947549846986,0.28304985470091576,292.38178121342605,3.00761660679586,2670.6347839733717,8.283781203889997e-06,True
