d_mm,overlap_deg,ign_btdc_deg,eoi_deg,lambda,power_kW,eta_b,BSFC_g_kWh,pmax_MPa,Tmax_K,emission_proxy,reliability_proxy,robust_score,recommended
147.4085783089018,49.657228438131106,28.408143894897528,614.9307957831219,0.9619497127907655,47.26127821287338,0.3435472039672883,240.8944672928709,4.998241716402077,2865.327996732549,0.4639981371021997,0.43053481173183156,0.6807301271131083,0
148.44890963808618,92.51896843806568,26.353484812035425,587.7311969275625,0.9630416441256746,47.259032999073106,0.3480757506924527,237.7603740709238,5.169733542699959,2834.3912427020473,0.5731255741863618,0.44447826700512966,0.6585568252333104,0
148.26070918576235,84.99305113013268,19.2428173644219,583.3185888622986,0.9572459338847372,47.23745284096665,0.34407237660140455,240.52677958953984,4.923358265853251,2855.4222926749485,0.6335962761855899,0.41689670365786674,0.6183451994788973,0
148.49681110288608,22.170596750721636,26.06262546492887,597.0345879401636,0.9891763222720852,47.224863657482445,0.34803419558422705,237.78876254022265,5.225273875253915,2823.2537561723348,0.20149607652901075,0.5308494831844515,0.7275182882331351,0
147.78025155219663,81.99534590261682,28.41248935081404,594.7711926529457,0.9830103828215563,47.21995258659006,0.35138584445155535,235.520644887745,5.3084412078885554,2818.782605255214,0.3639445788136747,0.4415213135040048,0.7045300691593664,0
148.08078832613995,82.68295514350567,25.645091021082823,602.5516397306559,0.9585789186606475,47.215507281612865,0.344134154138003,240.4836012192725,4.978875078806923,2861.567080527583,0.5520856677992881,0.4176399659514775,0.6558772593089812,0
147.7341742597999,72.87864759997905,29.38535134678567,597.9701722641942,0.9539014771766141,47.21183290217976,0.3438699573908444,240.66836579035976,4.983165228629961,2869.4985026100785,0.5685182815252646,0.4137408754041382,0.6539599889119895,0
147.30113228402618,39.34568740221823,25.43488800374746,587.9689390937226,0.971925873398077,47.20360798006923,0.3430230318409094,241.2625771672317,4.947103524088451,2855.132273140617,0.41152109374005924,0.43884307026531405,0.6936123274457204,0
147.911298474392,38.473192321449076,29.054892299962546,596.4433725840512,0.9794044294782207,47.203551077992046,0.3464192464386485,238.8972943635563,5.112689387110258,2836.368606932515,0.3076669420107375,0.4712758853691473,0.7173008737358157,0
147.7160953051359,73.75054718585372,21.94352761765251,594.6844581738329,0.9616785262470013,47.19633461619721,0.34304425510343606,241.24765087437908,4.924932439838715,2861.722821388095,0.5144812529577694,0.40729724251606547,0.6616927188389501,0
