eccentric_shaft_angle_deg,gas_torque_chamber_A_Nm,gas_torque_chamber_B_Nm,gas_torque_chamber_C_Nm,gas_torque_total_Nm,mean_mechanical_loss_torque_Nm,conditional_shaft_torque_Nm
130.0,158.20593686804466,-7.952295790196789,-6.320525242699051,143.9331158351488,4.098595965841337,139.83451986930748
131.0,156.0328882099595,-7.80801496339237,-6.490117458900192,141.73475578766696,4.098595965841337,137.63615982182563
132.0,153.8898530528602,-7.662865870145567,-6.660578329995006,139.5664088527196,4.098595965841337,135.46781288687828
133.0,151.77631859176117,-7.51687040763836,-6.831931676347705,137.42751650777512,4.098595965841337,133.3289205419338
134.0,149.69177798975906,-7.370051873404163,-7.004201574285693,135.3175245420692,4.098595965841337,131.21892857622788
135.0,147.63573053677138,-7.222436072161156,-7.1774123636902605,133.23588210091998,4.098595965841337,129.13728613507865
136.0,145.60768178538186,-7.0740536742539595,-7.351588655649861,131.18203945547805,4.098595965841337,127.08344348963671
137.0,143.60714366557974,-6.924945754484058,-7.526755340197808,129.15544257089786,4.098595965841337,125.05684660505652
138.0,141.63363458005873,-6.775178587709241,-7.702937594148777,127.15551839820071,4.098595965841337,123.05692243235937
139.0,139.68667948162428,-6.6248911802366575,-7.880160889042808,125.18162741234481,4.098595965841337,121.08303144650347
140.0,137.7658099341514,-6.47450410883152,-8.058450999203307,123.23285482611658,4.098595965841337,119.13425886027524
141.0,135.87056415843213,-6.327268780727039,-8.237834009914053,121.30546136779103,4.098595965841337,117.20686540194968
142.0,134.000487064161,-6.186787009992131,-8.418336325720338,119.39536372844854,4.098595965841337,115.2967677626072
143.0,132.1551302692153,-6.039130608731463,-8.599984678857284,117.51601498162655,4.098595965841337,113.41741901578521
144.0,130.33405210730845,-5.889655486011053,-8.78280613780948,115.66159048348791,4.098595965841337,111.56299451764657
145.0,128.5368176250156,-5.741465572339117,-8.966828116005118,113.82852393667136,4.098595965841337,109.72992797083002
146.0,126.76299856910065,-5.587135711768476,-9.152078380647955,112.02378447668421,4.098595965841337,107.92518851084287
147.0,125.01217336500777,-5.4302820006510695,-9.338585061689951,110.24330630266674,4.098595965841337,106.1447103368254
148.0,123.28392708731658,-5.271911404185623,-9.526376660948296,108.48563902218265,4.098595965841337,104.38704305634131
149.0,121.57785142290442,-5.11241920153944,-9.715482061368812,106.74995015999616,4.098595965841337,102.65135419415482
150.0,119.89354462750372,-4.952019060415037,-9.90593053643942,105.03559503064926,4.098595965841337,100.93699906480792
151.0,118.20543115826527,-4.790850849026456,-10.097751759756381,103.31682854948244,4.098595965841337,99.2182325836411
152.0,116.49003780477673,-4.629016873906963,-10.290975814745833,101.57004511612394,4.098595965841337,97.4714491502826
153.0,114.75007248560429,-4.466596885862243,-10.485633204543277,99.79784239519877,4.098595965841337,95.69924642935743
154.0,112.98817554359205,-4.3036550521203285,-10.681754862034314,98.0027656294374,4.098595965841337,93.90416966359606
155.0,111.20691684188334,-4.1402431115558995,-10.879372160058509,96.18730157026893,4.098595965841337,92.08870560442759
156.0,109.40879325562008,-3.9764011662563674,-11.078516921778924,94.35387516758479,4.098595965841337,90.25527920174345
157.0,107.59622654172958,-3.8121564944725685,-11.27922143122039,92.50484861603661,4.098595965841337,88.40625265019527
158.0,105.77156156876006,-3.6475202187881135,-11.481518443977977,90.64252290599397,4.098595965841337,86.54392694015263
159.0,103.93706488842491,-3.4824801906066956,-11.68544119809822,88.76914349972,4.098595965841337,84.67054753387866
160.0,102.09492363034494,-3.3169642010566456,-11.891023425135527,86.88693600415276,4.098595965841337,82.78834003831142
161.0,100.24724470142714,-3.151465151688815,-12.098299361384795,84.99748018835353,4.098595965841337,80.8988842225122
