theta_deg,mass_kg,fresh_mass_kg,internal_energy_J,work_J,wall_heat_J,pressure_Pa,temperature_K,volume_m3,dV_ddeg_m3,mfuel_per_cycle_kg,p_in_effective_Pa
863.0,0.00044577754016757464,0.00042531514671744836,112.41609720611213,597.8517622092343,47.21822748359349,109020.71152264295,351.2253678169811,0.00041217053694435037,-1.3767847060505775e-06,2.9326056611725016e-05,101325.0
864.0,0.00044577746136723647,0.0004253150715342586,112.57912960101096,597.7000704688217,47.20685899383166,109547.73980296115,351.73479755089363,0.0004107824847168837,-1.399288428450066e-06,2.9326056611725016e-05,101325.0
865.0,0.0004457773800435667,0.000425314993943565,112.74535977294171,597.5451774556263,47.195493066442744,110087.49000571427,352.25422038398875,0.0004093720232348199,-1.4216027095954856e-06,2.9326056611725016e-05,101325.0
866.0,0.00044577729622355687,0.00042531491397112013,112.91480880259456,597.3870619748412,47.18412982165216,110640.15190621122,352.7837021723362,0.0004079393434520656,-1.4437245284903701e-06,2.9326056611725016e-05,101325.0
867.0,0.00044577720993155013,0.00042531483164014964,113.08749825136003,597.2257023438779,47.172769385788314,111205.92079223777,353.32331027623337,0.0004064846393305302,-1.4656508901945456e-06,2.9326056611725016e-05,101325.0
868.0,0.00044577712118955103,0.00042531474697164804,113.2634501676594,597.0610763859554,47.16141189146782,111784.99759887098,353.873113579754,0.00040500810781386493,-1.487378826229635e-06,2.9326056611725016e-05,101325.0
869.0,0.0004457770300174873,0.00042531465998462835,113.4426870934139,596.8931614235304,47.150057477785744,112377.58904790512,354.4331825107656,0.0004035099488008015,-1.508905394980909e-06,2.9326056611725016e-05,101325.0
870.0,0.0004457769364334323,0.0004253145706963343,113.62523207065827,596.7219342715623,47.13870629051114,112983.90779204422,355.0035890614297,0.0004019903651180891,-1.5302276820955396e-06,2.9326056611725016e-05,101325.0
871.0,0.0004457768404537958,0.00042531447912242244,113.81110864830343,596.5473712306143,47.12735848228803,113604.17256402023,355.5844068091907,0.0004004495624930334,-1.5513428008771682e-06,2.9326056611725016e-05,101325.0
872.0,0.0004457767420934881,0.00042531438527711857,114.00034088905281,596.3694480797857,47.116014212841996,114238.60833079941,356.1757109382667,0.00039888774952564473,-1.5722478926767222e-06,2.9326056611725016e-05,101325.0
